documento_id,classificacao_id,nome_arquivo,eco_unit,frameworks_candidatos,campos_candidatos,valor_esperado,prioridade_leitura,justificativa
DOC-C10-023,C10,03-VIDEO.md,ECO-02,,11.3;11.5,medio,3,"Video da Peca 003 com secao ""Estrutura"": formato audiovisual derivado da mesma peca."
DOC-C10-025,C10,05-PUBLICACAO-E-AGENDA.md,ECO-02,,11.2;16.1,medio,3,"Publicacao e agenda da Peca 003 sem subsecoes: data e canal de publicacao, candidato a calendario editorial."
DOC-C10-026,C10,06-EVIDENCIA-DE-CONCLUSAO.md,ECO-02,,2.6;13.1,baixo,3,"Evidencia de conclusao da Peca 003 com ""Registrar"" e ""Concluido quando"": criterio de aceite e prova operacional."
DOC-C10-031,C10,BANCO-DE-IDEIAS.md,ECO-02,,11.5,medio,3,"Banco de ideias sem subsecoes detectadas: reservatorio de pautas futuras, candidato natural a banco de conteudo."
DOC-C11-008,C11,03-DEMO-MAPA-OS.md,ECO-03,SA-11B,1.3;2.11;11.3,medio,3,"Demonstracao 03 do Mapa-OS com ""Cena A"", ""Cena B"" e ""Mensagem"": encenacao do artefato metodologico e sua mensagem de valor."
DOC-C12-007,C12,PAG-003-ESTUDIO.md,ECO-07,,1.3;1.4,medio,3,"Pagina Estudio com ""Objetivo"", ""Chamada principal"" e ""Fechar"": recorte publico do Estudio, sobreposta a PAG-002-SERVICOS."
DOC-C12-008,C12,PAG-004-LOJA.md,ECO-04,,1.3;1.4;16.1,medio,3,"Pagina Loja com ""Objetivo"", ""Chamada principal"" e ""Fechar"": canal de venda; escopo entre produtos fisicos e infoprodutos nao explicitado."
DOC-C12-009,C12,PAG-005-BIBLIOTECA.md,ECO-06,,1.4;11.5,medio,3,"Pagina Biblioteca com ""Objetivo"", ""Chamada principal"" e ""Fechar"": vitrine de acervo, provavel destino dos livros digitais."
DOC-C13-004,C13,REFERENCIAS-VISUAIS.md,ECO-04,,11.6;2.1,medio,3,'Referencias visuais' com secoes Produtos fisicos e Livros digitais e biblioteca: unico texto que nomeia o escopo das referencias de produto.
DOC-C14-006,C14,PUB-004-LINKEDIN.md,ECO-08,SA-13,11.2;16.1,medio,3,PUB-004 'LinkedIn' com secao Evidencia: plano de publicacao e evidencia do canal profissional.
DOC-C15-001,C15,00-MERGULHE-AQUI.md,TRANSVERSAL,,11.2;10.1,medio,3,"'Calendario Mergulhe aqui' com Pastas, Notas e Ligacao direta: indice das semanas e do fechamento; da a estrutura do roadmap."
DOC-C15-007,C15,D04-28-08-PECA-001.md,ECO-02,,11.1;11.5;10.5;13.1,medio,3,D04 28/08 'Peca 001 concluida ponta a ponta': dia de producao editorial com Resultado do dia e Fila unica do dia.
DOC-C15-008,C15,D05-29-08-PECA-002.md,ECO-02,,11.1;11.5;10.5;13.1,medio,3,D05 29/08 'Peca 002 concluida ponta a ponta': mesmo molde de dia de producao editorial.
DOC-C15-009,C15,D06-30-08-PECA-003.md,ECO-02,,11.1;11.5;10.5;13.1,medio,3,D06 30/08 'Peca 003 concluida ponta a ponta': mesmo molde de dia de producao editorial.
DOC-C15-010,C15,D07-31-08-DEMONSTRACAO-APLICATIVO.md,ECO-01,SA-13,10.5;13.1;2.1,medio,3,"D07 31/08 'Demonstracao do aplicativo pronta e agendada': dia dedicado a demo do app, com Resultado do dia e Fila unica."
DOC-C15-013,C15,D08-01-09-DEMONSTRACAO-AGENTE-007.md,ECO-01,,10.5;13.1;17.1,medio,3,D08 01/09 'Demonstracao do Agente 007 pronta': dia de demo de agente; candidato a inventario de prompts e comandos.
DOC-C15-014,C15,D09-02-09-MAPA-OS-E-ESTUDIO.md,ECO-01,,10.5;13.1;17.1,medio,3,D09 02/09 'Demonstracoes Mapa-OS e Estudio fechadas': dia que fecha duas demos internas do ecossistema.
DOC-C15-016,C15,D11-04-09-TESTE-PONTA-A-PONTA.md,TRANSVERSAL,SA-13,13.1;16.1;10.5,medio,3,D11 04/09 'Fluxos de conversao testados': teste ponta a ponta; candidato a runbook de verificacao e contas envolvidas.
DOC-C15-017,C15,D12-05-09-CONGELAMENTO.md,TRANSVERSAL,,10.4;10.5;13.1,medio,3,D12 05/09 'Lancamento congelado e pronto': define o gate de congelamento antes do lancamento.
DOC-C15-020,C15,D13-06-09-CONFERENCIA-ADMINISTRATIVA.md,TRANSVERSAL,,13.1;13.5;10.4,medio,3,"D13 06/09 'Conferencia administrativa concluida': dia de conferencia previa ao lancamento, com Fila unica do dia."
DOC-C15-022,C15,FECHAMENTO-06-07.md,TRANSVERSAL,,10.4;13.1,medio,3,FECHAMENTO '6 e 7 de setembro' com secao Regra: enuncia a regra de encerramento do periodo.
DOC-C16-005,C16,MED-003-CONFERENCIA-05-09.md,TRANSVERSAL,,10.4;13.1;14.1,medio,3,MED-003 'Conferencia 05/09' com secao 'Tem que estar pronto': checklist do gate de congelamento.
DOC-C17-002,C17,MODELO-CHAMADA.md,TRANSVERSAL,SA-13,11.1;11.3;11.5,medio,3,'Modelo chamada para acao': template de CTA; candidato a padrao de campanha e a item do banco de conteudo.
DOC-C18-001,C18,executar-editorial.css,TRANSVERSAL,,11.6;11.7,medio,3,Folha de estilo 'executar editorial' com tokens oe-paper/oe-ink/oe-orange: candidata a design system (11.7) e identidade visual (11.6).
DOC-C18-003,C18,ARVORE-DE-PASTAS.txt,TRANSVERSAL,,14.3;16.1,medio,3,Arvore de pastas EXECUTAR-LANCAMENTO-0709 com 00-CENTRAL e 01-OFERTAS/01-APLICATIVO: mapa de onde cada evidencia mora.
DOC-C18-005,C18,executar_status_report_obsidian_terminal.html,TRANSVERSAL,,10.4;13.5;1.5;14.1,medio,3,"'EXECUTAR Status Report' em HTML: candidato a formato de cadencia de revisao e ao painel de acompanhamento; cabecalho unico, conteudo nao lido."
DOC-C01-007,C01,INTEGRIDADE_EDITORIAL.md,ECO-02,,14.1,baixo,4,"'Relatorio de integridade editorial' que apenas confere os quatro documentos do hub; meta-verificacao, sem conteudo proprio."
DOC-C01-013,C01,README.md,TRANSVERSAL,,14.1;16.1,baixo,4,"'Hub Obsidian Editorial' descrevendo Estrutura, O que foi aplicado e CSS editorial: manual do vault, nao fonte de conteudo."
DOC-C02-011,C02,RC-003_DIRECTORY_MANIFEST.txt,TRANSVERSAL,,14.1,baixo,4,"RC-003 'Directory Manifest', REFERENCIA: inventario de diretorios do pacote RC; util para localizar arquivos, nao para responder campos."
DOC-C02-024,C02,RC-AR01_SUPERADOS.txt,TRANSVERSAL,,14.1,baixo,4,"RC-AR01 'Decisoes superadas', STATUS HISTORICO: serve para nao reintroduzir decisao morta; nao deve alimentar campo vigente."
DOC-C02-025,C02,RC-AR02_VISUAL_HISTORY.txt,ECO-02,,11.6,baixo,4,"RC-AR02 'Historico de experimentos visuais', HISTORICO: registro de tentativas de identidade ja descartadas."
DOC-C02-028,C02,RISCO_COGNITIVO_OS_PARA.zip,TRANSVERSAL,,,baixo,4,Zip 'RISCO_COGNITIVO_OS_PARA' com 19 arquivos cujos membros RC-000 a RC-AR02 ja estao inventariados um a um; leitura redundante.
DOC-C02-033,C02,BRAND_GUIDE_SOURCE_OF_TRUTH.png,ECO-02,,11.6;11.7,baixo,4,"PNG 1491x1055 'BRAND GUIDE SOURCE OF TRUTH': imagem, conteudo nao extraivel como texto; confirma existencia da fonte de verdade visual."
DOC-C02-036,C02,DESIGN_TOKENS.json,ECO-02,,11.7,baixo,4,"Mesmos tokens do DESIGN_TOKENS.css em JSON (brand, colors, bg, surface, ink...); provavel espelho nao sinalizado como duplicata."
DOC-C02-037,C02,HOMEPAGE_REFERENCE_SOURCE_OF_TRUTH.png,ECO-02,,11.7;2.9,baixo,4,"PNG 1491x1055 'HOMEPAGE REFERENCE SOURCE OF TRUTH': referencia visual da home; imagem, sem texto extraivel."
DOC-C02-038,C02,README.txt,TRANSVERSAL,,14.1,baixo,4,"README do RESEARCH + BRAND PACK gerado em 2026-08-28, listando 00_INDEX e demais pastas: sumario do pacote, nao conteudo."
DOC-C03-003,C03,text 4.txt,ECO-02,,11.1,baixo,4,"Apenas o esqueleto ALVO/VETOR/ATOR/CONTEXTO/TENSAO: template de construcao argumentativa, sem conteudo preenchido visivel."
DOC-C04-005,C04,plano-semana-a4.html,TRANSVERSAL,,13.1,baixo,4,Terceira variante de 'Centro de Comando A4 | Plano dos 7 dias' nao sinalizada como duplicata; ler so para decidir qual versao vale.
DOC-C08-001,C08,00-MERGULHE-AQUI.md,TRANSVERSAL,,,baixo,4,"Indice ""Central - Mergulhe aqui"" com apenas Notas e Ligacao direta: porta de entrada de navegacao, sem conteudo substantivo."
DOC-C08-009,C08,07-INVENTARIO-DO-PACOTE.md,TRANSVERSAL,,,baixo,4,"Inventario do pacote com secao ""Estrutura"": lista de arquivos e pastas, valor de navegacao e nao de conteudo."
DOC-C08-010,C08,08-RELATORIO-DE-LIGACOES.md,TRANSVERSAL,,13.1,baixo,4,"Relatorio de ligacoes sem subsecoes detectadas: rastreia vinculos entre pecas, apoio a consistencia do pacote."
DOC-C09-001,C09,00-MERGULHE-AQUI.md,TRANSVERSAL,,,baixo,4,"Indice ""Ofertas - Mergulhe aqui"" com Pastas, Notas e Ligacao direta: navegacao do diretorio de ofertas."
DOC-C09-002,C09,00-MERGULHE-OFERTAS.md,TRANSVERSAL,,,baixo,4,"Titulo ""Mergulhe aqui"" sem secoes; mesma pasta e mesma funcao de DOC-C09-001, redundancia provavel nao marcada em duplicado_de."
DOC-C09-003,C09,00-MERGULHE-AQUI.md,ECO-01,,,baixo,4,"Indice ""Aplicativo - Mergulhe aqui"" com Notas e Ligacao direta: navegacao da pasta do app."
DOC-C09-005,C09,00-MERGULHE-AQUI.md,ECO-07,,,baixo,4,"Indice ""Servicos - Mergulhe aqui"" com Notas e Ligacao direta: navegacao da pasta de servicos."
DOC-C09-007,C09,00-MERGULHE-AQUI.md,ECO-04,,,baixo,4,"Indice ""Produtos Fisicos - Mergulhe aqui"" com Notas e Ligacao direta: navegacao da pasta de produtos fisicos."
DOC-C09-009,C09,00-MERGULHE-AQUI.md,ECO-05,,,baixo,4,"Indice ""Infoprodutos - Mergulhe aqui"" com Pastas, Notas e Ligacao direta: navegacao da pasta de infoprodutos."
DOC-C09-010,C09,00-MERGULHE-AQUI.md,ECO-06,,,baixo,4,"Indice ""Livros Digitais - Mergulhe aqui"" com Notas e Ligacao direta: navegacao da pasta de livros."
DOC-C09-012,C09,00-MERGULHE-AQUI.md,ECO-05,,,baixo,4,"Indice ""Curso - Mergulhe aqui"" com Notas e Ligacao direta: navegacao da pasta do curso."
DOC-C09-014,C09,00-MERGULHE-AQUI.md,ECO-05,,,baixo,4,"Indice ""Hotmart - Mergulhe aqui"" com Notas e Ligacao direta: navegacao da pasta da plataforma."
DOC-C09-017,C09,00-MERGULHE-AQUI.md,ECO-08,,,baixo,4,"Indice ""Afiliados - Mergulhe aqui"" com Notas e Ligacao direta: navegacao da pasta de afiliados."
DOC-C10-001,C10,00-MERGULHE-AQUI.md,ECO-02,,,baixo,4,"Indice ""Editorial - Mergulhe aqui"" com Pastas, Notas e Ligacao direta: navegacao do diretorio editorial."
DOC-C10-002,C10,00-MERGULHE-EDITORIAL.md,ECO-02,,,baixo,4,"Titulo ""Mergulhe aqui"" sem secoes; mesma pasta e mesma funcao de DOC-C10-001, redundancia provavel nao marcada em duplicado_de."
DOC-C10-004,C10,00-MERGULHE-AQUI.md,ECO-02,,,baixo,4,"Indice da Peca 001 com ""Cadeia da peca"" e ""Regra"": define ordem de leitura da peca, sem conteudo editorial proprio."
DOC-C10-012,C10,00-MERGULHE-AQUI.md,ECO-02,,,baixo,4,"Indice da Peca 002 com ""Cadeia da peca"" e ""Regra"": ordem de leitura da peca, sem conteudo proprio."
DOC-C10-020,C10,00-MERGULHE-AQUI.md,ECO-02,,,baixo,4,"Indice da Peca 003 com ""Cadeia da peca"" e ""Regra"": ordem de leitura da peca, sem conteudo proprio."
DOC-C10-028,C10,00-MERGULHE-AQUI.md,ECO-02,,,baixo,4,"Indice ""Brinde Canonico - Mergulhe aqui"" com Notas e Ligacao direta: navegacao da pasta do brinde."
DOC-C10-030,C10,00-MERGULHE-AQUI.md,ECO-02,,,baixo,4,"Indice ""Banco De Ideias - Mergulhe aqui"" com Notas e Ligacao direta: navegacao da pasta de ideias."
DOC-C11-001,C11,00-MERGULHE-AQUI.md,TRANSVERSAL,,,baixo,4,"Indice ""Demonstracoes - Mergulhe aqui"" com Pastas, Notas e Ligacao direta: navegacao do diretorio de demos."
DOC-C11-002,C11,00-MERGULHE-DEMONSTRACOES.md,TRANSVERSAL,,,baixo,4,"Titulo ""Mergulhe aqui"" sem secoes; mesma pasta e mesma funcao de DOC-C11-001, redundancia provavel nao marcada em duplicado_de."
DOC-C11-003,C11,00-MERGULHE-AQUI.md,ECO-01,,,baixo,4,"Indice ""Aplicativo - Mergulhe aqui"" na pasta de demonstracoes: navegacao, sem conteudo de demo."
DOC-C11-005,C11,00-MERGULHE-AQUI.md,ECO-01,,,baixo,4,"Indice ""Agente 007 - Mergulhe aqui"" com Notas e Ligacao direta: navegacao da pasta da demo do agente."
DOC-C11-007,C11,00-MERGULHE-AQUI.md,ECO-03,,,baixo,4,"Indice ""Mapa Os - Mergulhe aqui"" com Notas e Ligacao direta: navegacao da pasta da demo do Mapa-OS."
DOC-C11-009,C11,00-MERGULHE-AQUI.md,ECO-07,,,baixo,4,"Indice ""Estudio - Mergulhe aqui"" com Notas e Ligacao direta: navegacao da pasta da demo do Estudio."
DOC-C12-001,C12,00-MERGULHE-AQUI.md,TRANSVERSAL,,,baixo,4,"Indice ""Paginas E Formularios - Mergulhe aqui"" com Notas e Ligacao direta: navegacao do diretorio."
DOC-C12-002,C12,00-MERGULHE-PAGINAS.md,TRANSVERSAL,,,baixo,4,"Titulo ""Mergulhe aqui"" sem secoes; mesma pasta e mesma funcao de DOC-C12-001, redundancia provavel nao marcada em duplicado_de."
DOC-C13-001,C13,00-MERGULHE-AQUI.md,TRANSVERSAL,,11.5,baixo,4,"'Materiais Mergulhe aqui' com Pastas, Notas e Ligacao direta: indice de navegacao do acervo de materiais, nao conteudo substantivo."
DOC-C13-003,C13,00-MERGULHE-AQUI.md,TRANSVERSAL,,11.6,baixo,4,'Referencias Visuais Mergulhe aqui' com Notas e Ligacao direta: porta de entrada da pasta de referencia visual.
DOC-C14-001,C14,00-MERGULHE-AQUI.md,TRANSVERSAL,,11.2;16.1,baixo,4,"'Publicacao E Agenda Mergulhe aqui' com Notas e Ligacao direta: indice da pasta de publicacao, aponta para os PUB-00x."
DOC-C15-003,C15,00-MERGULHE-AQUI.md,TRANSVERSAL,,10.5;11.2,baixo,4,"'Semana 25 31 Mergulhe aqui' com Notas e Ligacao direta: porta de entrada da primeira semana, sem conteudo de plano."
DOC-C15-012,C15,00-MERGULHE-AQUI.md,TRANSVERSAL,,10.5;11.2,baixo,4,'Semana 01 05 Mergulhe aqui' com Notas e Ligacao direta: porta de entrada da segunda semana.
DOC-C15-019,C15,00-MERGULHE-AQUI.md,TRANSVERSAL,,10.5;11.2,baixo,4,'Fechamento 06 07 Mergulhe aqui' com Notas e Ligacao direta: porta de entrada do bloco de fechamento.
DOC-C16-001,C16,00-MERGULHE-AQUI.md,TRANSVERSAL,,14.1;1.5,medio,4,"'Medicao E Evidencias Mergulhe aqui' com Notas e Ligacao direta: indice dos MED-00x, aponta a estrutura de medicao."
DOC-C17-001,C17,00-MERGULHE-AQUI.md,TRANSVERSAL,,11.5,baixo,4,'Modelos Mergulhe aqui' com Notas e Ligacao direta: indice dos modelos reutilizaveis.
DOC-C17-004,C17,MODELO-MATERIAL.md,TRANSVERSAL,,11.5;11.7,medio,4,'Modelo material': template de ficha de material; candidato a estrutura do banco de conteudo.
DOC-C01-001,C01,obsidian-editorial.css,ECO-02,,,baixo,5,duplicata exata de DOC-C18-001
DOC-C01-008,C01,SHA256SUMS.txt,TRANSVERSAL,,,baixo,5,"Apenas hashes SHA256 de text.txt, text 2/3/4.txt: prova de integridade das fontes originais, sem conteudo aproveitavel."
DOC-C01-009,C01,text 2.txt,ECO-02,,,baixo,5,duplicata exata de DOC-C03-001
DOC-C01-010,C01,text 3.txt,ECO-02,,,baixo,5,duplicata exata de DOC-C03-002
DOC-C01-011,C01,text 4.txt,ECO-02,,,baixo,5,duplicata exata de DOC-C03-003
DOC-C01-012,C01,text.txt,ECO-02,,,baixo,5,duplicata exata de DOC-C03-004
DOC-C02-005,C02,RISCO_COGNITIVO_MASTER_INDEX.csv,TRANSVERSAL,,,baixo,5,duplicata exata de DOC-C02-002
DOC-C02-006,C02,RISCO_COGNITIVO_MASTER_INDEX.xlsx,TRANSVERSAL,,,baixo,5,duplicata exata de DOC-C02-003
DOC-C02-008,C02,RC-000_MASTER_INDEX.csv,TRANSVERSAL,,,baixo,5,duplicata exata de DOC-C02-002
DOC-C02-009,C02,RC-001_MASTER_CONTROL.txt,TRANSVERSAL,,,baixo,5,duplicata exata de DOC-C02-001
DOC-C02-026,C02,RISCO_COGNITIVO_MASTER_CONTROL.txt,TRANSVERSAL,,,baixo,5,duplicata exata de DOC-C02-001
DOC-C02-027,C02,RISCO_COGNITIVO_MASTER_INDEX.csv,TRANSVERSAL,,,baixo,5,duplicata exata de DOC-C02-002
DOC-C04-004,C04,plano-semana-a4 3.html,TRANSVERSAL,,,baixo,5,duplicata exata de DOC-C04-003
DOC-C13-002,C13,00-MERGULHE-MATERIAIS.md,TRANSVERSAL,,,baixo,5,Arquivo 00-MERGULHE-MATERIAIS com unico cabecalho 'Mergulhe aqui': stub de navegacao sem secoes; valor informacional minimo.
DOC-C13-005,C13,referencia-biblioteca-livros-digitais.jpeg,ECO-05,,11.6,baixo,5,"JPEG 'referencia biblioteca livros digitais' 1536x864 RGB: so metadados visuais extraidos, sem texto; serve de moodboard, nao sustenta afirmacao."
DOC-C13-006,C13,referencia-livro-digital-aplicando-tdah.jpeg,ECO-06,,11.6,baixo,5,"JPEG 'referencia livro digital aplicando tdah' 1086x1448 RGB: so metadados visuais, sem texto legivel nesta sessao."
DOC-C13-007,C13,referencia-livro-digital-gerenciando-tdah.jpeg,ECO-06,,11.6,baixo,5,"JPEG 'referencia livro digital gerenciando tdah' 1086x1448 RGB: so metadados visuais, sem texto legivel nesta sessao."
DOC-C13-008,C13,referencia-office-kit.jpeg,ECO-04,,11.6,baixo,5,"JPEG 'referencia office kit' 1536x864 RGB: so metadados visuais, sem texto; apoia moodboard de produto fisico, nao especificacao."
DOC-C13-009,C13,referencia-organizacao-fisica.jpeg,ECO-04,,11.6,baixo,5,"JPEG 'referencia organizacao fisica' 1536x864 RGB: so metadados visuais, sem texto; referencia de linguagem visual apenas."
DOC-C13-010,C13,referencia-timer-45.jpeg,ECO-04,,11.6,baixo,5,"JPEG 'referencia timer 45' 1536x1067 RGB: so metadados visuais, sem texto; indicio de item fisico a confirmar em fonte textual."
DOC-C13-011,C13,00-MERGULHE-AQUI.md,TRANSVERSAL,,11.5,baixo,5,"00-MERGULHE-AQUI cujo unico cabecalho e 'Imagens': marcador de subpasta do banco de conteudo, sem corpo."
DOC-C13-012,C13,00-MERGULHE-AQUI.md,TRANSVERSAL,,11.5,baixo,5,"00-MERGULHE-AQUI cujo unico cabecalho e 'Videos': marcador de subpasta do banco de conteudo, sem corpo."
DOC-C13-013,C13,00-MERGULHE-AQUI.md,TRANSVERSAL,,11.5,baixo,5,00-MERGULHE-AQUI cujo unico cabecalho e 'Arquivos para baixar': marcador de subpasta de materiais baixaveis.
DOC-C14-002,C14,00-MERGULHE-PUBLICACAO.md,TRANSVERSAL,,,baixo,5,00-MERGULHE-PUBLICACAO com unico cabecalho 'Mergulhe aqui': stub de navegacao sem secoes.
DOC-C15-002,C15,00-MERGULHE-CALENDARIO.md,TRANSVERSAL,,,baixo,5,00-MERGULHE-CALENDARIO com unico cabecalho 'Mergulhe aqui': stub de navegacao sem secoes.
DOC-C16-002,C16,00-MERGULHE-MEDICAO.md,TRANSVERSAL,,,baixo,5,00-MERGULHE-MEDICAO com unico cabecalho 'Mergulhe aqui': stub de navegacao sem secoes.
